#queries;% columns min;size min;column ids;% columns max;size max;column ids;size avg
1;6,56;0,78% (0,01 GB);22;16,39;29,73% (0,36 GB);19;0,13 GB
2;21,31;1,99% (0,02 GB);11,16;22,95;39,89% (0,48 GB);13,19;0,23 GB
3;34,43;2,45% (0,03 GB);2,11,16;31,15;49,07% (0,59 GB);12,13,19;0,29 GB
4;40,98;3,23% (0,04 GB);2,11,16,22;37,70;54,18% (0,65 GB);1,4,13,19;0,34 GB
5;50,82;10,96% (0,13 GB);2,11,16,18,22;52,46;57,89% (0,70 GB);1,9,12,13,19;0,39 GB
6;54,10;13,45% (0,16 GB);2,4,11,16,21,22;62,30;60,32% (0,72 GB);1,9,10,12,13,19;0,42 GB
7;54,10;17,22% (0,21 GB);2,5,7,11,15,16,22;80,33;61,49% (0,74 GB);1,2,10,12,13,19,20;0,45 GB
8;57,38;17,80% (0,21 GB);2,3,5,7,11,15,16,22;81,97;62,42% (0,75 GB);1,2,10,12,13,18,19,20;0,48 GB
9;55,74;19,08% (0,23 GB);2,5,7,8,11,14,15,16,22;85,25;63,00% (0,76 GB);1,2,3,10,12,13,18,19,20;0,51 GB
10;59,02;19,66% (0,24 GB);2,3,5,7,8,11,14,15,16,22;86,89;63,12% (0,76 GB);1,2,3,10,12,13,18,19,20,21;0,53 GB
11;65,57;22,24% (0,27 GB);2,3,5,7,8,10,11,14,15,16,22;86,89;63,12% (0,76 GB);1,2,3,10,12,13,15,18,19,20,21;0,55 GB
12;57,38;23,41% (0,28 GB);5,6,7,8,9,11,14,15,16,17,20,22;86,89;63,12% (0,76 GB);1,2,3,10,12,13,15,18,19,20,21,22;0,58 GB
13;60,66;23,81% (0,29 GB);2,5,6,7,8,9,11,14,15,16,17,20,22;86,89;63,12% (0,76 GB);1,2,3,10,12,13,15,17,18,19,20,21,22;0,60 GB
14;63,93;24,39% (0,29 GB);2,3,5,6,7,8,9,11,14,15,16,17,20,22;86,89;63,12% (0,76 GB);1,2,3,10,12,13,15,16,17,18,19,20,21,22;0,62 GB
15;67,21;25,61% (0,31 GB);2,3,5,6,7,8,9,11,14,15,16,17,18,20,22;86,89;63,12% (0,76 GB);1,2,3,10,12,13,14,15,16,17,18,19,20,21,22;0,64 GB
16;72,13;27,90% (0,34 GB);2,3,5,6,7,8,9,10,11,14,15,16,17,18,20,22;86,89;63,12% (0,76 GB);1,2,3,10,11,12,13,14,15,16,17,18,19,20,21,22;0,66 GB
17;73,77;31,19% (0,37 GB);2,3,4,5,6,7,8,9,11,14,15,16,17,18,20,21,22;86,89;63,12% (0,76 GB);1,2,3,9,10,11,12,13,14,15,16,17,18,19,20,21,22;0,67 GB
18;78,69;33,48% (0,40 GB);2,3,4,5,6,7,8,9,10,11,14,15,16,17,18,20,21,22;86,89;63,12% (0,76 GB);1,2,3,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22;0,69 GB
19;81,97;37,66% (0,45 GB);1,2,3,4,5,6,7,8,9,10,11,14,15,16,17,18,20,21,22;86,89;63,12% (0,76 GB);1,2,3,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22;0,71 GB
20;83,61;42,31% (0,51 GB);1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,20,21,22;86,89;63,12% (0,76 GB);1,2,3,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22;0,73 GB
21;85,25;51,50% (0,62 GB);1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22;86,89;63,12% (0,76 GB);1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22;0,74 GB
22;86,89;63,12% (0,76 GB);1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22;86,89;63,12% (0,76 GB);1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22;0,76 GB
