#queries;% columns min;size min;column ids;% columns max;size max;column ids;size avg
0.1;13,11;8,24% (0,10 GB);18;70,49;54,73% (0,66 GB);2,4,8,13,19,20,22;0,43 GB
0.2;27,87;13,96% (0,17 GB);18,21;80,33;57,89% (0,70 GB);2,3,10,12,13,15,19,20,22;0,48 GB
0.3;11,48;17,67% (0,21 GB);1;81,97;58,82% (0,71 GB);2,3,4,10,13,17,18,19,20;0,52 GB
0.4;49,18;22,13% (0,27 GB);1,2,6,11,14,16,17;83,61;58,94% (0,71 GB);2,3,4,10,13,15,18,19,20,21;0,53 GB
0.5;26,23;22,77% (0,27 GB);1,3,6,18;83,61;62,07% (0,75 GB);1,2,3,4,10,13,19,20;0,54 GB
0.6;49,18;26,26% (0,32 GB);1,5,6,7,10,15,18,22;85,25;62,19% (0,75 GB);1,2,3,10,12,13,19,20,21;0,56 GB
0.7;59,02;28,83% (0,35 GB);1,5,6,7,8,9,11,14,15,18,20,22;86,89;63,12% (0,76 GB);1,2,3,10,12,13,18,19,20,21;0,59 GB
0.8;72,13;31,69% (0,38 GB);1,3,5,6,7,8,9,10,11,14,15,16,17,18,20,22;86,89;63,12% (0,76 GB);1,2,3,10,12,13,14,15,16,18,19,20,21,22;0,62 GB
0.9;80,33;35,92% (0,43 GB);1,2,3,5,6,7,8,9,10,11,14,15,16,17,18,20,21,22;86,89;63,12% (0,76 GB);1,2,3,9,10,12,13,15,16,17,18,19,20,21,22;0,67 GB
1.0;86,89;63,12% (0,76 GB);1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22;86,89;63,12% (0,76 GB);1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22;0,76 GB
