#queries;% columns min;size min;column ids;% columns max;size max;column ids;size avg
0.1;18,03;8,05% (0,10 GB);21;52,46;42,03% (0,51 GB);4,8,11,19;0,31 GB
0.2;36,07;10,07% (0,12 GB);16,21,22;68,85;49,07% (0,59 GB);1,2,8,11,12,19;0,41 GB
0.3;22,95;17,74% (0,21 GB);13,21;59,02;54,06% (0,65 GB);10,11,12,13,14,19;0,46 GB
0.4;29,51;20,22% (0,24 GB);4,13,21,22;78,69;60,64% (0,73 GB);1,2,8,10,11,12,13,19;0,51 GB
0.5;52,46;29,37% (0,35 GB);1,3,4,5,6,7,15,21,22;81,97;62,42% (0,75 GB);1,2,10,12,13,18,19,20;0,56 GB
0.6;68,85;33,42% (0,40 GB);1,3,5,6,7,8,9,11,14,16,17,18,20,21;85,25;63,00% (0,76 GB);1,2,3,10,12,13,17,18,19,20;0,61 GB
0.7;77,05;37,26% (0,45 GB);1,3,4,5,6,7,8,9,10,11,14,16,17,18,20,21,22;86,89;63,12% (0,76 GB);1,2,3,10,12,13,18,19,20,21;0,66 GB
0.8;73,77;42,87% (0,52 GB);1,3,5,6,7,8,9,11,13,14,16,17,18,20,21,22;86,89;63,12% (0,76 GB);1,2,3,10,12,13,16,17,18,19,20,21,22;0,71 GB
0.9;80,33;51,09% (0,61 GB);1,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,20,21,22;86,89;63,12% (0,76 GB);1,2,3,7,8,9,10,12,13,15,16,17,18,19,20,21,22;0,75 GB
1.0;86,89;63,12% (0,76 GB);1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22;86,89;63,12% (0,76 GB);1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22;0,76 GB
