id\id;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
1;1;0;0,21;0;0,1;0,57;0,18;0,08;0,14;0,15;0;0,08;0;0,3;0,25;0;0,18;0,07;0,21;0,1;0;0
2;0;1;0;0;0,25;0;0,14;0,31;0,29;0,06;0,35;0;0;0,09;0,17;0,35;0,04;0;0,07;0,36;0,2;0
3;0,21;0;1;0,23;0,37;0,27;0,44;0,32;0,23;0,37;0;0,21;0,27;0,23;0,2;0;0,07;0,38;0,11;0,04;0,11;0,17
4;0;0;0,23;1;0,16;0;0,12;0,14;0,15;0,16;0;0,63;0,11;0;0;0;0;0,27;0;0;0,31;0
5;0,1;0,25;0,37;0,16;1;0,11;0,71;0,84;0,43;0,45;0,2;0,1;0,18;0,1;0,2;0,04;0,05;0,26;0,08;0,19;0,35;0,11
6;0,57;0;0,27;0;0,11;1;0,21;0,1;0,17;0,11;0;0,1;0;0,43;0,33;0;0,25;0,09;0,27;0,12;0;0
7;0,18;0,14;0,44;0,12;0,71;0,21;1;0,6;0,43;0,45;0,24;0,18;0,21;0,19;0,31;0,05;0,06;0,24;0,1;0,27;0,41;0,13
8;0,08;0,31;0,32;0,14;0,84;0,1;0,6;1;0,5;0,4;0,17;0,08;0,15;0,25;0,17;0,13;0,14;0,23;0,16;0,26;0,3;0,1
9;0,14;0,29;0,23;0,15;0,43;0,17;0,43;0,5;1;0,27;0,39;0,09;0,05;0,21;0,19;0,19;0,21;0,19;0,23;0,52;0,33;0
10;0,15;0,06;0,37;0,16;0,45;0,11;0,45;0,4;0,27;1;0,09;0,1;0,18;0,1;0,09;0;0,05;0,33;0,08;0,07;0,17;0,25
11;0;0,35;0;0;0,2;0;0,24;0,17;0,39;0,09;1;0;0;0;0,07;0,23;0;0;0;0,44;0,27;0
12;0,08;0;0,21;0,63;0,1;0,1;0,18;0,08;0,09;0,1;0;1;0,1;0,08;0,07;0;0;0,15;0,06;0,05;0,29;0
13;0;0;0,27;0,11;0,18;0;0,21;0,15;0,05;0,18;0;0,1;1;0;0;0;0;0,33;0;0;0,07;0,33
14;0,3;0,09;0,23;0;0,1;0,43;0,19;0,25;0,21;0,1;0;0,08;0;1;0,27;0,17;0,33;0;0,33;0,17;0;0
15;0,25;0,17;0,2;0;0,2;0,33;0,31;0,17;0,19;0,09;0,07;0,07;0;0,27;1;0,07;0,08;0;0,13;0,28;0,19;0
16;0;0,35;0;0;0,04;0;0,05;0,13;0,19;0;0,23;0;0;0,17;0,07;1;0,17;0;0,2;0,21;0,06;0
17;0,18;0,04;0,07;0;0,05;0,25;0,06;0,14;0,21;0,05;0;0;0;0,33;0,08;0,17;1;0,08;0,6;0,17;0;0
18;0,07;0;0,38;0,27;0,26;0,09;0,24;0,23;0,19;0,33;0;0,15;0,33;0;0;0;0,08;1;0,06;0,05;0,12;0,2
19;0,21;0,07;0,11;0;0,08;0,27;0,1;0,16;0,23;0,08;0;0,06;0;0,33;0,13;0,2;0,6;0,06;1;0,14;0;0
20;0,1;0,36;0,04;0;0,19;0,12;0,27;0,26;0,52;0,07;0,44;0,05;0;0,17;0,28;0,21;0,17;0,05;0,14;1;0,3;0
21;0;0,2;0,11;0,31;0,35;0;0,41;0,3;0,33;0,17;0,27;0,29;0,07;0;0,19;0,06;0;0,12;0;0,3;1;0
22;0;0;0,17;0;0,11;0;0,13;0,1;0;0,25;0;0;0,33;0;0;0;0;0,2;0;0;0;1
Mittelwert;0,12;0,13;0,20;0,11;0,25;0,15;0,27;0,26;0,25;0,19;0,12;0,11;0,09;0,15;0,15;0,09;0,12;0,15;0,13;0,18;0,17;0,06
ähnlich zu;14;13;18;10;21;14;21;21;20;20;10;16;11;15;17;12;15;16;16;18;15;7
;1,746666667;1,659047619;3,625714286;1,085714286;5,28;2,086666667;5,67;5,43;4,961904762;3,742857143;1,166666667;1,805714286;1,037142857;2,321428571;2,485238095;1,068571429;1,771428571;2,323809524;2,156190476;3,205714286;2,485714286;0,43
;13,38%;0,30%;5,61%;4,75%;2,81%;1,08%;3,88%;1,51%;3,67%;3,67%;0,43%;2,81%;17,48%;0,86%;0,65%;2,37%;2,81%;3,67%;7,77%;2,59%;16,40%;1,50%
;13,05430992;553,015873;64,62948816;22,85714286;187,9003559;193,2098765;146,1340206;359,602649;135,2017646;101,9852083;271,3178295;64,26029487;5,93331154;269,9335548;382,3443223;45,08740205;63,04016268;63,31906059;27,75019918;123,7727523;15,15679443;28,66666667
