queryID & t0 & t1 & t2 & t3 & t4 & t5 & t6 & t7 & t8 & t9 & t10 \\ \hline 
1 & 0.31\% & 0.31\% & 0.31\% & 0\% & 0.31\% & 0.31\% & 0\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% \\ \hline 
2 & 1.69\% & 1.69\% & 1.69\% & 0\% & 1.69\% & 1.69\% & 1.69\% & 0\% & 1.69\% & 1.69\% & 1.69\% \\ \hline 
3 & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% \\ \hline 
4 & 3.38\% & 3.38\% & 3.38\% & 0\% & 3.38\% & 3.38\% & 3.38\% & 3.38\% & 3.38\% & 3.38\% & 3.38\% \\ \hline 
5 & 1.38\% & 1.38\% & 0\% & 1.38\% & 1.38\% & 1.38\% & 1.38\% & 1.38\% & 1.38\% & 1.38\% & 1.38\% \\ \hline 
6 & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0\% & 0.31\% & 0\% & 0.31\% & 0.31\% & 0\% & 0.31\% \\ \hline 
7 & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% \\ \hline 
8 & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0\% \\ \hline 
9 & 2.46\% & 2.46\% & 2.46\% & 2.46\% & 2.46\% & 2.46\% & 2.46\% & 2.46\% & 2.46\% & 2.46\% & 2.46\% \\ \hline 
10 & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% \\ \hline 
11 & 0\% & 1.69\% & 1.69\% & 1.69\% & 0\% & 1.69\% & 1.69\% & 0\% & 1.69\% & 0\% & 1.69\% \\ \hline 
12 & 0.31\% & 0.31\% & 0\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0\% \\ \hline 
13 & 0.92\% & 0.92\% & 0\% & 0.92\% & 0\% & 0.92\% & 0.92\% & 0.92\% & 0\% & 0.92\% & 0.92\% \\ \hline 
14 & 0\% & 3.22\% & 3.22\% & 3.22\% & 3.22\% & 0\% & 3.22\% & 3.22\% & 3.22\% & 0\% & 3.22\% \\ \hline 
15 & 3.22\% & 3.22\% & 3.22\% & 0\% & 3.22\% & 3.22\% & 3.22\% & 0\% & 3.22\% & 3.22\% & 3.22\% \\ \hline 
16 & 0.31\% & 0\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0\% & 0.31\% & 0\% & 0.31\% & 0.31\% \\ \hline 
17 & 0\% & 1.38\% & 0\% & 1.38\% & 1.38\% & 1.38\% & 1.38\% & 0\% & 1.38\% & 1.38\% & 1.38\% \\ \hline 
18 & 1.69\% & 1.69\% & 1.69\% & 1.69\% & 0\% & 1.69\% & 1.69\% & 1.69\% & 1.69\% & 0\% & 1.69\% \\ \hline 
19 & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0\% & 0.92\% & 0\% & 0.92\% \\ \hline 
20 & 0\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% \\ \hline 
21 & 0.31\% & 0.31\% & 0.31\% & 0\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% \\ \hline 
22 & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% \\ \hline 
23 & 2.76\% & 2.76\% & 2.76\% & 2.76\% & 0\% & 2.76\% & 2.76\% & 2.76\% & 0\% & 2.76\% & 2.76\% \\ \hline 
24 & 0\% & 3.84\% & 3.84\% & 3.84\% & 3.84\% & 3.84\% & 3.84\% & 3.84\% & 3.84\% & 3.84\% & 3.84\% \\ \hline 
25 & 3.84\% & 3.84\% & 3.84\% & 0\% & 3.84\% & 3.84\% & 0\% & 3.84\% & 0\% & 3.84\% & 0\% \\ \hline 
26 & 1.00\% & 1.00\% & 1.00\% & 1.00\% & 1.00\% & 1.00\% & 1.00\% & 1.00\% & 1.00\% & 1.00\% & 1.00\% \\ \hline 
27 & 1.00\% & 1.00\% & 1.00\% & 1.00\% & 0\% & 1.00\% & 1.00\% & 1.00\% & 1.00\% & 1.00\% & 0\% \\ \hline 
28 & 1.69\% & 1.69\% & 0\% & 1.69\% & 1.69\% & 1.69\% & 0\% & 1.69\% & 1.69\% & 1.69\% & 1.69\% \\ \hline 
29 & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% \\ \hline 
30 & 0.31\% & 0.31\% & 0\% & 0.31\% & 0.31\% & 0\% & 0.31\% & 0.31\% & 0\% & 0.31\% & 0.31\% \\ \hline 
31 & 1.38\% & 1.38\% & 0\% & 1.38\% & 0\% & 1.38\% & 1.38\% & 1.38\% & 1.38\% & 1.38\% & 1.38\% \\ \hline 
32 & 1.69\% & 1.69\% & 1.69\% & 1.69\% & 1.69\% & 1.69\% & 0\% & 1.69\% & 0\% & 1.69\% & 1.69\% \\ \hline 
33 & 0.31\% & 0\% & 0.31\% & 0\% & 0.31\% & 0.31\% & 0.31\% & 0\% & 0.31\% & 0.31\% & 0.31\% \\ \hline 
34 & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% \\ \hline 
35 & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% \\ \hline 
36 & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0\% & 0.92\% & 0\% & 0.92\% & 0.92\% \\ \hline 
37 & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% \\ \hline 
38 & 0.92\% & 0.92\% & 0\% & 0.92\% & 0\% & 0.92\% & 0.92\% & 0\% & 0.92\% & 0.92\% & 0.92\% \\ \hline 
39 & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% \\ \hline 
40 & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% \\ \hline 
41 & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0\% & 0.92\% & 0.92\% & 0.92\% & 0.92\% & 0\% & 0.92\% \\ \hline 
42 & 1.23\% & 1.23\% & 1.23\% & 1.23\% & 1.23\% & 0\% & 1.23\% & 1.23\% & 0\% & 1.23\% & 1.23\% \\ \hline 
43 & 1.23\% & 1.23\% & 0\% & 1.23\% & 1.23\% & 1.23\% & 1.23\% & 1.23\% & 1.23\% & 1.23\% & 1.23\% \\ \hline 
44 & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% \\ \hline 
45 & 0.15\% & 0.15\% & 0.15\% & 0.15\% & 0.15\% & 0.15\% & 0\% & 0.15\% & 0.15\% & 0.15\% & 0.15\% \\ \hline 
46 & 0\% & 0.31\% & 0.31\% & 0\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0\% & 0.31\% \\ \hline 
47 & 0.31\% & 0.31\% & 0.31\% & 0\% & 0.31\% & 0\% & 0.31\% & 0\% & 0.31\% & 0.31\% & 0.31\% \\ \hline 
48 & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% \\ \hline 
49 & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0\% \\ \hline 
50 & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% \\ \hline 
51 & 0\% & 1.38\% & 0\% & 1.38\% & 1.38\% & 1.38\% & 1.38\% & 1.38\% & 0\% & 1.38\% & 1.38\% \\ \hline 
52 & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% \\ \hline 
53 & 0.92\% & 0\% & 0.92\% & 0.92\% & 0\% & 0.92\% & 0\% & 0.92\% & 0.92\% & 0.92\% & 0\% \\ \hline 
54 & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0\% & 0.61\% & 0.61\% & 0.61\% & 0\% & 0.61\% \\ \hline 
55 & 1.69\% & 1.69\% & 0\% & 1.69\% & 1.69\% & 1.69\% & 1.69\% & 1.69\% & 1.69\% & 0\% & 1.69\% \\ \hline 
56 & 0.31\% & 0\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% \\ \hline 
57 & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0.31\% & 0\% \\ \hline 
