queryID;-;load
1;1;0.0030690540
2;5.5;0.0168797952
3;2;0
4;11;0.0337595904
5;4.5;0.0138107412
6;1;0
7;2;0
8;1;0.003069054
9;8;0.02455243
10;2;0.006138108
11;5.5;0
12;1;0.0030690540
13;3;0.0092071608
14;10.5;0
15;10.5;0.032225064
16;1;0.0030690540
17;4.5;0.0138107412
18;5.5;0
19;3;0
20;2;0.006138108
21;1;0.0030690540
22;2;0.006138108
23;9;0.0276214836
24;12.5;0.0383631708
25;12.5;0.0383631708
26;3.25;0.009974424
27;3.25;0.009974424
28;5.5;0.0168797952
29;2;0.006138108
30;1;0.0030690540
31;4.5;0.0138107412
32;5.5;0.0168797952
33;1;0.0030690540
34;2;0.006138108
35;2;0.006138108
36;3;0.0092071608
37;2;0
38;3;0.0092071608
39;2;0
40;2;0.006138108
41;3;0
42;4;0.0122762148
43;4;0.0122762148
44;2;0.006138108
45;0.5;0.0015345264
46;1;0
47;1;0.0030690540
48;2;0.006138108
49;2;0.006138108
50;2;0.006138108
51;4.5;0.0138107412
52;2;0.006138108
53;3;0.0092071608
54;2;0
55;5.5;0
56;1;0.0030690540
57;1;0.003069054
58;3;0.0092071608
59;1;0.0030690540
60;3;0
61;3;0
62;2;0.006138108
63;7;0.0214833756
64;4.5;0.0138107412
65;3;0
66;2;0.006138108
67;1;0.003069054
68;19;0.058312020
69;2;0
70;2;0.006138108
71;16;0.049104859
72;2;0.006138108
73;3;0.0092071608
74;2;0.006138108
75;2;0.006138108
76;25;0.0767263428
77;1;0.0030690540
78;4.5;0
79;8;0.0245524296
80;2;0.006138108
81;3;0.0092071608
82;5.5;0.0168797952
83;2;0
84;7;0.021483376
85;1;0.0030690540
86;3;0.009207161
87;2;0.006138108
88;1;0.003069054
89;5.5;0
90;1;0.003069054
91;2;0.006138108
92;8;0.02455243
93;1;0.0030690540
94;1;0.0030690540
95;2;0.006138108
96;1;0.003069054
97;2;0.006138108
98;3;0.0092071608
99;10;0.0306905376
100;2;0
101;3;0.0092071608
102;1;0.0030690540
103;2;0.006138108
