queryID & t0 & t1 & t2 & t3 & t4 & t5 & t6 & t7 & t8 & t9 & t10\\ \hline 
1 & 0.26\% & 0.25\% & 0.22\% & 0.25\% & 0.23\% & 0.21\% & 0.22\% & 0.23\% & 0.25\% & 0.27\% & 0.27\%\\ \hline 
2 & 1.41\% & 1.35\% & 1.46\% & 1.41\% & 1.54\% & 1.51\% & 1.63\% & 1.58\% & 1.69\% & 1.61\% & 1.69\%\\ \hline 
3 & 0.51\% & 0.52\% & 0.53\% & 0.50\% & 0.50\% & 0.46\% & 0.43\% & 0.46\% & 0.51\% & 0.50\% & 0.50\%\\ \hline 
4 & 2.81\% & 3.04\% & 3.34\% & 3.51\% & 3.79\% & 3.83\% & 3.94\% & 3.90\% & 4.18\% & 4.47\% & 4.87\%\\ \hline 
5 & 1.15\% & 1.14\% & 1.24\% & 1.22\% & 1.22\% & 1.33\% & 1.33\% & 1.43\% & 1.35\% & 1.44\% & 1.41\%\\ \hline 
6 & 0.26\% & 0.24\% & 0.23\% & 0.21\% & 0.22\% & 0.22\% & 0.22\% & 0.22\% & 0.21\% & 0.23\% & 0.25\%\\ \hline 
7 & 0.51\% & 0.48\% & 0.49\% & 0.48\% & 0.50\% & 0.50\% & 0.54\% & 0.57\% & 0.60\% & 0.58\% & 0.61\%\\ \hline 
8 & 0.26\% & 0.26\% & 0.26\% & 0.24\% & 0.27\% & 0.29\% & 0.29\% & 0.29\% & 0.28\% & 0.29\% & 0.28\%\\ \hline 
9 & 2.05\% & 2.19\% & 2.23\% & 2.10\% & 2.04\% & 2.22\% & 2.37\% & 2.28\% & 2.39\% & 2.37\% & 2.25\%\\ \hline 
10 & 0.51\% & 0.47\% & 0.48\% & 0.45\% & 0.48\% & 0.46\% & 0.49\% & 0.46\% & 0.48\% & 0.53\% & 0.53\%\\ \hline 
11 & 1.41\% & 1.31\% & 1.32\% & 1.23\% & 1.30\% & 1.28\% & 1.38\% & 1.38\% & 1.30\% & 1.43\% & 1.41\%\\ \hline 
12 & 0.26\% & 0.23\% & 0.22\% & 0.22\% & 0.22\% & 0.20\% & 0.19\% & 0.19\% & 0.18\% & 0.17\% & 0.16\%\\ \hline 
13 & 0.77\% & 0.73\% & 0.67\% & 0.68\% & 0.66\% & 0.72\% & 0.76\% & 0.71\% & 0.69\% & 0.66\% & 0.61\%\\ \hline 
14 & 2.69\% & 2.69\% & 2.74\% & 2.52\% & 2.55\% & 2.32\% & 2.15\% & 2.24\% & 2.22\% & 2.08\% & 2.02\%\\ \hline 
15 & 2.69\% & 2.66\% & 2.69\% & 2.52\% & 2.75\% & 2.81\% & 2.92\% & 2.83\% & 2.89\% & 3.09\% & 3.37\%\\ \hline 
16 & 0.26\% & 0.28\% & 0.29\% & 0.27\% & 0.29\% & 0.27\% & 0.25\% & 0.25\% & 0.25\% & 0.23\% & 0.21\%\\ \hline 
17 & 1.15\% & 1.12\% & 1.03\% & 1.08\% & 1.14\% & 1.12\% & 1.05\% & 1.13\% & 1.05\% & 0.97\% & 1.07\%\\ \hline 
18 & 1.41\% & 1.55\% & 1.41\% & 1.46\% & 1.52\% & 1.45\% & 1.42\% & 1.30\% & 1.23\% & 1.10\% & 1.03\%\\ \hline 
19 & 0.77\% & 0.75\% & 0.73\% & 0.74\% & 0.81\% & 0.75\% & 0.69\% & 0.65\% & 0.68\% & 0.74\% & 0.79\%\\ \hline 
20 & 0.51\% & 0.47\% & 0.47\% & 0.42\% & 0.44\% & 0.43\% & 0.45\% & 0.43\% & 0.40\% & 0.43\% & 0.41\%\\ \hline 
21 & 0.26\% & 0.27\% & 0.29\% & 0.31\% & 0.28\% & 0.27\% & 0.25\% & 0.23\% & 0.23\% & 0.23\% & 0.23\%\\ \hline 
22 & 0.51\% & 0.55\% & 0.49\% & 0.47\% & 0.44\% & 0.45\% & 0.48\% & 0.43\% & 0.42\% & 0.38\% & 0.37\%\\ \hline 
23 & 2.30\% & 2.12\% & 2.20\% & 2.36\% & 2.26\% & 2.22\% & 2.00\% & 1.88\% & 2.03\% & 1.96\% & 2.14\%\\ \hline 
24 & 3.20\% & 3.20\% & 2.94\% & 2.68\% & 2.54\% & 2.34\% & 2.50\% & 2.68\% & 2.95\% & 2.65\% & 2.73\%\\ \hline 
25 & 3.20\% & 3.39\% & 3.29\% & 3.35\% & 3.25\% & 3.32\% & 3.09\% & 3.05\% & 2.87\% & 2.87\% & 2.64\%\\ \hline 
26 & 0.83\% & 0.80\% & 0.88\% & 0.80\% & 0.73\% & 0.69\% & 0.73\% & 0.78\% & 0.78\% & 0.85\% & 0.86\%\\ \hline 
27 & 0.83\% & 0.79\% & 0.86\% & 0.91\% & 0.86\% & 0.77\% & 0.81\% & 0.82\% & 0.79\% & 0.80\% & 0.77\%\\ \hline 
28 & 1.41\% & 1.55\% & 1.47\% & 1.41\% & 1.54\% & 1.69\% & 1.62\% & 1.61\% & 1.54\% & 1.61\% & 1.77\%\\ \hline 
29 & 0.51\% & 0.50\% & 0.48\% & 0.51\% & 0.53\% & 0.52\% & 0.48\% & 0.50\% & 0.46\% & 0.45\% & 0.42\%\\ \hline 
30 & 0.26\% & 0.24\% & 0.22\% & 0.22\% & 0.23\% & 0.24\% & 0.26\% & 0.29\% & 0.29\% & 0.31\% & 0.33\%\\ \hline 
31 & 1.15\% & 1.08\% & 0.97\% & 1.00\% & 0.93\% & 1.01\% & 1.05\% & 1.00\% & 1.06\% & 1.05\% & 0.98\%\\ \hline 
