queryID;-;load
1;1;0.255754476
2;5.5;1.406649616
3;2;0.511508951
4;11;2.813299233
5;4.5;1.150895141
6;1;0.255754476
7;2;0.511508951
8;1;0.255754476
9;8;2.046035806
10;2;0.511508951
11;5.5;1.406649616
12;1;0.255754476
13;3;0.767263427
14;10.5;2.685421995
15;10.5;2.685421995
16;1;0.255754476
17;4.5;1.150895141
18;5.5;1.406649616
19;3;0.767263427
20;2;0.511508951
21;1;0.255754476
22;2;0.511508951
23;9;2.301790281
24;12.5;3.196930946
25;12.5;3.196930946
26;3.25;0.831202046
27;3.25;0.831202046
28;5.5;1.406649616
29;2;0.511508951
30;1;0.255754476
31;4.5;1.150895141
32;5.5;1.406649616
33;1;0.255754476
34;2;0.511508951
35;2;0.511508951
36;3;0.767263427
37;2;0.511508951
38;3;0.767263427
39;2;0.511508951
40;2;0.511508951
41;3;0.767263427
42;4;1.023017903
43;4;1.023017903
44;2;0.511508951
45;0.5;0.127877238
46;1;0.255754476
47;1;0.255754476
48;2;0.511508951
49;2;0.511508951
50;2;0.511508951
51;4.5;1.150895141
52;2;0.511508951
53;3;0.767263427
54;2;0.511508951
55;5.5;1.406649616
56;1;0.255754476
57;1;0.255754476
58;3;0.767263427
59;1;0.255754476
60;3;0.767263427
61;3;0.767263427
62;2;0.511508951
63;7;1.79028133
64;4.5;1.150895141
65;3;0.767263427
66;2;0.511508951
67;1;0.255754476
68;19;4.859335038
69;2;0.511508951
70;2;0.511508951
71;16;4.092071611
72;2;0.511508951
73;3;0.767263427
74;2;0.511508951
75;2;0.511508951
76;25;6.393861893
77;1;0.255754476
78;4.5;1.150895141
79;8;2.046035806
80;2;0.511508951
81;3;0.767263427
82;5.5;1.406649616
83;2;0.511508951
84;7;1.79028133
85;1;0.255754476
86;3;0.767263427
87;2;0.511508951
88;1;0.255754476
89;5.5;1.406649616
90;1;0.255754476
91;2;0.511508951
92;8;2.046035806
93;1;0.255754476
94;1;0.255754476
95;2;0.511508951
96;1;0.255754476
97;2;0.511508951
98;3;0.767263427
99;10;2.557544757
100;2;0.511508951
101;3;0.767263427
102;1;0.255754476
103;2;0.511508951
