queryID & t0 & t1 & t2 & t3 & t4 & t5 & t6 & t7 & t8 & t9 & t10 \\ \hline
1 & 16.06\% & 16.06\% & 16.06\% & 16.06\% & 14.04\% & 15.83\% & 14.77\% & 12.79\% & 12.79\% & 12.79\% & 12.79\% \\ \hline
2 & 0.36\% & 0.40\% & 0.35\% & 0\% & 0\% & 0\% & 0\% & 0\% & 0.36\% & 0.36\% & 0.36\% \\ \hline
3 & 0\% & 0\% & 0\% & 0\% & 0\% & 0\% & 0\% & 0\% & 0\% & 0\% & 0\% \\ \hline
4 & 5.70\% & 6.51\% & 5.82\% & 5.82\% & 5.82\% & 5.82\% & 5.82\% & 5.82\% & 5.82\% & 5.82\% & 5.82\% \\ \hline
5 & 3.37\% & 3.37\% & 3.37\% & 3.37\% & 3.37\% & 3.04\% & 3.04\% & 0\% & 0\% & 0\% & 0\% \\ \hline
6 & 1.30\% & 1.30\% & 1.30\% & 1.30\% & 0\% & 0\% & 0\% & 0\% & 1.30\% & 1.30\% & 0\% \\ \hline
7 & 4.66\% & 4.66\% & 4.66\% & 0\% & 0\% & 0\% & 4.66\% & 4.66\% & 4.66\% & 4.66\% & 0\% \\ \hline
8 & 0\% & 1.81\% & 1.62\% & 0\% & 0\% & 0\% & 0\% & 0\% & 1.81\% & 1.81\% & 1.55\% \\ \hline
9 & 4.40\% & 4.40\% & 3.94\% & 3.94\% & 3.94\% & 3.55\% & 3.55\% & 0\% & 0\% & 0\% & 0\% \\ \hline
10 & 0\% & 0\% & 0\% & 0\% & 0\% & 0\% & 0\% & 0\% & 0\% & 0\% & 0\% \\ \hline
11 & 0.52\% & 0.52\% & 0.52\% & 0\% & 0\% & 0.52\% & 0.52\% & 0.52\% & 0.45\% & 0.45\% & 0.45\% \\ \hline
12 & 3.37\% & 3.37\% & 3.37\% & 3.37\% & 0\% & 0\% & 0\% & 0\% & 0\% & 3.37\% & 3.37\% \\ \hline
13 & 20.98\% & 20.98\% & 18.75\% & 18.75\% & 18.75\% & 18.75\% & 21.89\% & 28.13\% & 24.28\% & 24.28\% & 20.81\% \\ \hline
14 & 1.03\% & 1.08\% & 1.08\% & 1.08\% & 0.95\% & 0.86\% & 0.86\% & 0.86\% & 0.86\% & 0.86\% & 0.73\% \\ \hline
15 & 0.78\% & 0.78\% & 0.70\% & 0.70\% & 0\% & 0.78\% & 0.78\% & 0.83\% & 0.83\% & 0.83\% & 0.71\% \\ \hline
16 & 0\% & 2.84\% & 2.54\% & 0\% & 0\% & 0\% & 0\% & 0\% & 0\% & 2.84\% & 2.84\% \\ \hline
17 & 3.37\% & 3.97\% & 3.55\% & 0\% & 0\% & 3.37\% & 6.39\% & 6.39\% & 5.51\% & 5.51\% & 4.73\% \\ \hline
18 & 0\% & 0\% & 0\% & 0\% & 0\% & 0\% & 0\% & 0\% & 0\% & 0\% & 0\% \\ \hline
19 & 9.32\% & 9.32\% & 9.32\% & 9.32\% & 9.32\% & 8.42\% & 8.42\% & 8.42\% & 8.42\% & 8.42\% & 8.42\% \\ \hline
20 & 3.11\% & 3.63\% & 3.25\% & 0\% & 0\% & 0\% & 0\% & 0\% & 0\% & 3.11\% & 3.11\% \\ \hline
21 & 19.68\% & 22.66\% & 22.66\% & 22.66\% & 19.81\% & 17.89\% & 22.86\% & 22.86\% & 22.86\% & 22.86\% & 22.86\% \\ \hline
22 & 1.80\% & 1.80\% & 1.61\% & 1.61\% & 1.61\% & 1.61\% & 1.55\% & 1.55\% & 1.71\% & 1.71\% & 1.46\% \\ \hline
