queryID;runtime in ms;load
1;15357;18,60034156
10;3198;3,873405763
11;324;0,392427601
12;3673;4,448724005
13;9405;11,39130119
14;909;1,100977435
15;1335;1,616947059
16;1640;1,98636193
17;0;0
18;8066;9,769509344
19;290;0,351246927
2;966;1,170015624
20;3593;4,351828301
21;3789;4,589222775
22;443;0,53655996
3;2175;2,634351949
4;948;1,148214091
5;1258;1,523684944
6;1205;1,45949154
7;4509;5,46128411
8;1236;1,497038625
9;7514;9,100928988
RF1_orders;1296;1,569710403
RF1_lineitem;7236;8,764216417
RF2_orders;1122;1,358962247
RF2_lineitem;1076;1,303247217
